,id,owner,datetaken,tags,latitude,longitude,geometry,year,month,month_year
0,52717036566,8866365@N08,2022-03-18 16:24:18,ameland ballumerbocht friesland nederland birds vogels natuur zwartwit blackandwhite,53.429979,5.702633,POINT (5.703 53.43),2022,Mar,2022-03
1,52712145777,57755771@N05,2022-08-07 19:43:59,düne pflanzen ameland friesland europa landschaft küstendüne niederlande strand sandstrand natur jahreszeiten sommer dünengras country dune europe fryslân itamelân nederland nederlân netherlands beach ilpaese lestate lété lacampagne lasaison landscape lespaysbas seasons summer,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
2,52709531717,57755771@N05,2022-08-07 19:43:38,düne strand pflanzen ameland friesland europa landschaft küstendüne niederlande sandstrand natur dünengras sommer gegenlicht jahreszeiten country dune europe fryslân itamelân nederland nederlân netherlands backlight beach ilpaese lestate lété lacampagne lasaison landscape lespaysbas seasons summer,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
3,52702770036,57755771@N05,2022-08-07 19:48:41,pflanzen ameland friesland europa landschaft niederlande strand sandstrand natur jahreszeiten sommer blumenundpflanzen country europe fryslân itamelân nederland nederlân netherlands beach ilpaese lestate lété lacampagne lasaison landscape lespaysbas seasons summer,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
4,52700137342,57755771@N05,2022-08-07 20:02:50,ameland meer europa vogel wasser tier natur sandstrand friesland jahreszeiten spiegelung landschaft strand möwe nordsee sommer niederlande country europe fryslân gewässer itamelân nederland nederlân netherlands northsea animal beach bird ilpaese lacqua leau lestate lété lacampagne lamer lasaison landscape lespaysbas leseaux mare ocean reflection sea seagull seasons summer water waters,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
5,52698273134,57755771@N05,2022-08-07 20:05:01,landschaft aussicht ameland friesland europa strand wasser niederlande sandstrand natur meer nordsee sommer jahreszeiten country europe fryslân gewässer itamelân nederland nederlân netherlands northsea beach ilpaese lacqua leau lestate lété lacampagne lamer lasaison landscape lespaysbas leseaux mare ocean sea seasons summer water waters,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
6,52696080851,57755771@N05,2022-08-07 20:13:20,ameland meer europa sonne sonnenuntergang tier natur sandstrand landschaft friesland jahreszeiten strand wasser spiegelung nordsee himmel vogel niederlande sommer gegenlicht,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
7,52688867198,14925782@N06,2022-09-19 19:55:31,lighthouse blueskymclouds z6 ameland art nature sunset wattenmeer sand photoart beach northsea outside longexposure nght nikonphotography island nikon windmill digitalart netherland harbour longexposureshots,53.438179,5.774302,POINT (5.774 53.438),2022,Sep,2022-09
8,52684242433,57755771@N05,2022-08-07 20:12:49,bohrinse landschaft sandstrand ameland friesland europa strand wasser niederlande natur meer nordsee jahreszeiten sommer offshorebauwerk bohrplattform country europe fryslân gewässer itamelân nederland nederlân netherlands northsea offshoreconstruction beach ilpaese lacqua leau lestate lété lacampagne lamer lasaison landscape lespaysbas leseaux mare ocean offshoreplatform oilplatform oilrig plateformepétrolière sea seasons summer water waters,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
9,52683745881,57755771@N05,2022-08-07 20:09:50,muscheln sandstrand ameland friesland europa landschaft strand niederlande natur tier gegenlicht jahreszeiten sommer detail country europe fryslân itamelân nederland nederlân netherlands animal backlight beach ilpaese lestate lété lacampagne lasaison landscape lespaysbas mussels seasons summer,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
10,52684106215,105105658@N03,2023-02-12 09:25:50,ameland ccby nederland thenetherlands wadden ro016b thehorseisshoed statue art horse jaapvanmeeuwen despaanseruiter,53.449891,5.775136,POINT (5.775 53.45),2023,Feb,2023-02
11,52682547265,57755771@N05,2022-08-07 20:17:27,aussicht ameland meer europa sonne himmel natur wetter sandstrand friesland jahreszeiten landschaft niederlande strand wasser nordsee sonnenuntergang sommer wolken,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
12,52680855739,57755771@N05,2022-08-07 20:34:07,düne strand pflanzen ameland friesland europa landschaft küstendüne niederlande sandstrand natur dünengras jahreszeiten sommer detail country dune europe fryslân itamelân nederland nederlân netherlands beach ilpaese lestate lété lacampagne lasaison landscape lespaysbas seasons summer,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
13,52669884036,57755771@N05,2022-08-08 12:06:33,aussicht ameland friesland europa niederlande natur pflanzen dünengras jahreszeiten sommer hollum country europe fryslân itamelân nederland nederlân netherlands ilpaese lestate lété lacampagne lasaison lespaysbas seasons summer,53.449177,5.625713,POINT (5.626 53.449),2022,Aug,2022-08
14,52668454088,57755771@N05,2022-08-07 20:13:10,ameland meer europa sonne himmel tier natur landschaft sandstrand silhouette friesland jahreszeiten strand wasser spiegelung nordsee vogel sonnenuntergang niederlande sommer gegenlicht,53.460438,5.762622,POINT (5.763 53.46),2022,Aug,2022-08
15,52661415820,57755771@N05,2022-08-08 12:36:02,landschaft insel wasser meer ameland friesland jahreszeiten nordsee himmel niederlande natur wetter wolken europa sommer hollum country europe fryslân gewässer itamelân nederland nederlân netherlands northsea clouds ilpaese isle lacqua leau lestate lété lacampagne lamer lasaison landscape letemps lespaysbas leseaux mare ocean sea seasons sky summer water waters weather île,53.435224,5.624908,POINT (5.625 53.435),2022,Aug,2022-08
