"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bouwen en wonen/Woningvoorraad/Voorraad op 1 januari (aantal)";"Onderwijs/Naar schoolgemeente/Leerlingen/Basisonderwijs (aantal)"
"2000";"Aa en Hunze";24824;9964;2329
"2001";"Aa en Hunze";25208;10116;2305
"2002";"Aa en Hunze";25552;10172;2307
"2003";"Aa en Hunze";25305;10239;2282
"2004";"Aa en Hunze";25218;10316;2297
"2005";"Aa en Hunze";25329;10374;2364
"2006";"Aa en Hunze";25507;10471;2379
"2007";"Aa en Hunze";25563;10508;2405
"2008";"Aa en Hunze";25598;10636;2390
"2009";"Aa en Hunze";25675;10649;2394
"2010";"Aa en Hunze";25563;10763;2351
"2011";"Aa en Hunze";25785;10797;2264
"2012";"Aa en Hunze";25738;12414;2178
"2013";"Aa en Hunze";25541;11214;2062
"2014";"Aa en Hunze";25357;11173;1946
"2015";"Aa en Hunze";25203;11150;1864
"2016";"Aa en Hunze";25243;11131;1754
"2017";"Aa en Hunze";25286;11145;1730
"2018";"Aa en Hunze";25390;11165;1735
"2019";"Aa en Hunze";25386;11257;1723
"2020";"Aa en Hunze";25445;11179;1649
"2021";"Aa en Hunze";25399;11207;1591
"2022";"Aa en Hunze";25579;11336;
"2000";"Aalburg";11774;4023;1263
"2001";"Aalburg";11928;4096;1257
"2002";"Aalburg";12006;4110;1283
"2003";"Aalburg";12087;4131;1306
"2004";"Aalburg";12204;4165;1315
"2005";"Aalburg";12164;4190;1299
"2006";"Aalburg";12222;4205;1285
"2007";"Aalburg";12293;4293;1300
"2008";"Aalburg";12386;4352;1295
"2009";"Aalburg";12556;4465;1295
"2010";"Aalburg";12614;4483;1267
"2011";"Aalburg";12685;4499;1234
"2012";"Aalburg";12749;4769;1191
"2013";"Aalburg";12774;4857;1185
"2014";"Aalburg";12846;4971;1148
"2015";"Aalburg";12922;5020;1151
"2016";"Aalburg";13038;5031;1122
"2017";"Aalburg";13067;5071;1127
"2018";"Aalburg";13153;5109;1141
"2019";"Aalburg";;;
"2020";"Aalburg";;;
"2021";"Aalburg";;;
"2022";"Aalburg";;;
"2000";"Aalsmeer";22461;8759;2260
"2001";"Aalsmeer";22662;8864;2282
"2002";"Aalsmeer";22786;8981;2274
"2003";"Aalsmeer";22839;9034;2299
"2004";"Aalsmeer";22915;9034;2280
"2005";"Aalsmeer";23296;9118;2353
"2006";"Aalsmeer";24145;9211;2448
"2007";"Aalsmeer";25019;9833;2542
"2008";"Aalsmeer";26386;10436;2771
"2009";"Aalsmeer";28006;11278;2971
"2010";"Aalsmeer";29187;11741;3115
"2011";"Aalsmeer";30189;11764;3238
"2012";"Aalsmeer";30364;12267;3308
"2013";"Aalsmeer";30618;12354;3299
"2014";"Aalsmeer";30759;12780;3319
"2015";"Aalsmeer";31077;12803;3321
"2016";"Aalsmeer";31299;12893;3275
"2017";"Aalsmeer";31373;12919;3179
"2018";"Aalsmeer";31499;12888;3110
"2019";"Aalsmeer";31728;13091;3003
"2020";"Aalsmeer";31859;13217;2865
"2021";"Aalsmeer";31991;13284;2757
"2022";"Aalsmeer";32452;13368;
"2000";"Aalten";18699;7028;2028
"2001";"Aalten";18773;7045;2018
"2002";"Aalten";18811;7055;2001
"2003";"Aalten";18855;7105;1986
"2004";"Aalten";18998;7178;1978
"2005";"Aalten";27446;10676;2815
"2006";"Aalten";27476;10726;2831
"2007";"Aalten";27570;10889;2795
"2008";"Aalten";27568;11059;2782
"2009";"Aalten";27447;11130;2791
"2010";"Aalten";27500;11218;2753
"2011";"Aalten";27439;11267;2736
"2012";"Aalten";27305;11504;2639
"2013";"Aalten";27082;11451;2604
"2014";"Aalten";27013;11687;2585
"2015";"Aalten";26904;11775;2504
"2016";"Aalten";26912;11811;2448
"2017";"Aalten";27047;11872;2411
"2018";"Aalten";26962;11922;2302
"2019";"Aalten";27011;11971;2270
"2020";"Aalten";27121;11976;2218
"2021";"Aalten";27120;12028;2134
"2022";"Aalten";27100;12095;
"2000";"Ter Aar";9074;3146;1027
"2001";"Ter Aar";9080;3157;1000
"2002";"Ter Aar";9083;3157;1001
"2003";"Ter Aar";9080;3214;922
"2004";"Ter Aar";9010;3249;880
"2005";"Ter Aar";8999;3274;857
"2006";"Ter Aar";8988;3320;860
"2007";"Ter Aar";;;
"2008";"Ter Aar";;;
"2009";"Ter Aar";;;
"2010";"Ter Aar";;;
"2011";"Ter Aar";;;
"2012";"Ter Aar";;;
"2013";"Ter Aar";;;
"2014";"Ter Aar";;;
"2015";"Ter Aar";;;
"2016";"Ter Aar";;;
"2017";"Ter Aar";;;
"2018";"Ter Aar";;;
"2019";"Ter Aar";;;
"2020";"Ter Aar";;;
"2021";"Ter Aar";;;
"2022";"Ter Aar";;;
"2000";"Aarle-Rixtel";;;
"2001";"Aarle-Rixtel";;;
"2002";"Aarle-Rixtel";;;
"2003";"Aarle-Rixtel";;;
"2004";"Aarle-Rixtel";;;
"2005";"Aarle-Rixtel";;;
"2006";"Aarle-Rixtel";;;
"2007";"Aarle-Rixtel";;;
"2008";"Aarle-Rixtel";;;
"2009";"Aarle-Rixtel";;;
"2010";"Aarle-Rixtel";;;
"2011";"Aarle-Rixtel";;;
"2012";"Aarle-Rixtel";;;
"2013";"Aarle-Rixtel";;;
"2014";"Aarle-Rixtel";;;
"2015";"Aarle-Rixtel";;;
"2016";"Aarle-Rixtel";;;
"2017";"Aarle-Rixtel";;;
"2018";"Aarle-Rixtel";;;
"2019";"Aarle-Rixtel";;;
"2020";"Aarle-Rixtel";;;
"2021";"Aarle-Rixtel";;;
"2022";"Aarle-Rixtel";;;
"2000";"Abcoude";8482;3414;967
"2001";"Abcoude";8487;3414;991
"2002";"Abcoude";8524;3417;1007
"2003";"Abcoude";8595;3417;1033
"2004";"Abcoude";8624;3446;1057
"2005";"Abcoude";8603;3481;1065
"2006";"Abcoude";8670;3497;1075
"2007";"Abcoude";8651;3497;1090
"2008";"Abcoude";8688;3504;1120
"2009";"Abcoude";8680;3511;1144
"2010";"Abcoude";8764;3627;1109
"2011";"Abcoude";;;
"2012";"Abcoude";;;
"2013";"Abcoude";;;
"2014";"Abcoude";;;
"2015";"Abcoude";;;
"2016";"Abcoude";;;
"2017";"Abcoude";;;
"2018";"Abcoude";;;
"2019";"Abcoude";;;
"2020";"Abcoude";;;
"2021";"Abcoude";;;
"2022";"Abcoude";;;
"2000";"Achtkarspelen";28011;10894;2848
"2001";"Achtkarspelen";28013;10929;2818
"2002";"Achtkarspelen";28045;10976;2769
"2003";"Achtkarspelen";28102;11048;2798
"2004";"Achtkarspelen";28156;11087;2831
"2005";"Achtkarspelen";28134;11204;2857
"2006";"Achtkarspelen";28223;11268;2886
"2007";"Achtkarspelen";28143;11303;2929
"2008";"Achtkarspelen";28088;11425;2938
"2009";"Achtkarspelen";28139;11493;2945
"2010";"Achtkarspelen";28088;11537;2939
"2011";"Achtkarspelen";28123;11566;2921
"2012";"Achtkarspelen";28091;11663;2935
"2013";"Achtkarspelen";28110;11711;2871
"2014";"Achtkarspelen";28016;11894;2803
"2015";"Achtkarspelen";27983;11917;2778
"2016";"Achtkarspelen";28007;11946;2707
"2017";"Achtkarspelen";27893;12028;2629
"2018";"Achtkarspelen";27935;12075;2599
"2019";"Achtkarspelen";27852;12118;2530
"2020";"Achtkarspelen";27843;12129;2482
"2021";"Achtkarspelen";27900;12181;2431
"2022";"Achtkarspelen";27954;12264;
"2000";"Akersloot";4907;1860;610
"2001";"Akersloot";5013;1903;592
"2002";"Akersloot";;;
"2003";"Akersloot";;;
"2004";"Akersloot";;;
"2005";"Akersloot";;;
"2006";"Akersloot";;;
"2007";"Akersloot";;;
"2008";"Akersloot";;;
"2009";"Akersloot";;;
"2010";"Akersloot";;;
"2011";"Akersloot";;;
"2012";"Akersloot";;;
"2013";"Akersloot";;;
"2014";"Akersloot";;;
"2015";"Akersloot";;;
"2016";"Akersloot";;;
"2017";"Akersloot";;;
"2018";"Akersloot";;;
"2019";"Akersloot";;;
"2020";"Akersloot";;;
"2021";"Akersloot";;;
"2022";"Akersloot";;;
"2000";"Alblasserdam";18183;7290;2020
"2001";"Alblasserdam";18410;7433;2042
"2002";"Alblasserdam";18388;7406;2048
"2003";"Alblasserdam";18425;7424;2039
"2004";"Alblasserdam";18386;7355;2025
"2005";"Alblasserdam";18356;7484;2024
"2006";"Alblasserdam";18426;7578;2037
"2007";"Alblasserdam";18666;7516;2043
"2008";"Alblasserdam";18718;7644;2070
"2009";"Alblasserdam";18839;7692;2104
"2010";"Alblasserdam";19014;7745;2067
"2011";"Alblasserdam";19208;7933;2060
"2012";"Alblasserdam";19467;8083;2111
"2013";"Alblasserdam";19643;8111;2098
"2014";"Alblasserdam";19801;8122;2084
"2015";"Alblasserdam";19845;8138;2057
"2016";"Alblasserdam";19955;8220;2054
"2017";"Alblasserdam";20008;8252;2030
"2018";"Alblasserdam";20014;8276;2052
"2019";"Alblasserdam";20069;8324;2066
"2020";"Alblasserdam";20165;8353;2029
"2021";"Alblasserdam";20136;8408;1949
"2022";"Alblasserdam";20087;8415;
"2000";"Albrandswaard";16420;6416;1712
"2001";"Albrandswaard";17721;7036;1975
"2002";"Albrandswaard";18092;7125;2009
"2003";"Albrandswaard";18737;7406;1945
"2004";"Albrandswaard";19607;7826;1986
"2005";"Albrandswaard";20606;8241;2042
"2006";"Albrandswaard";21059;8462;1962
"2007";"Albrandswaard";21523;8563;2204
"2008";"Albrandswaard";22453;9033;2283
"2009";"Albrandswaard";22974;9187;2394
"2010";"Albrandswaard";24191;9777;2459
"2011";"Albrandswaard";24674;9996;2510
"2012";"Albrandswaard";25003;9822;2581
"2013";"Albrandswaard";25101;10059;2581
"2014";"Albrandswaard";25069;10165;2583
"2015";"Albrandswaard";25148;10167;2556
"2016";"Albrandswaard";24985;10208;2527
"2017";"Albrandswaard";25105;10286;2499
"2018";"Albrandswaard";25218;10333;2503
"2019";"Albrandswaard";25271;10347;2482
"2020";"Albrandswaard";25590;10517;2479
"2021";"Albrandswaard";25814;10573;2477
"2022";"Albrandswaard";25934;10622;
"2000";"Alkemade";14433;5188;1647
"2001";"Alkemade";14395;5218;1607
"2002";"Alkemade";14409;5250;1598
"2003";"Alkemade";14428;5225;1581
"2004";"Alkemade";14481;5284;1508
"2005";"Alkemade";14501;5326;1496
"2006";"Alkemade";14512;5351;1523
"2007";"Alkemade";14536;5397;1509
"2008";"Alkemade";14481;5410;1496
"2009";"Alkemade";;;
"2010";"Alkemade";;;
"2011";"Alkemade";;;
"2012";"Alkemade";;;
"2013";"Alkemade";;;
"2014";"Alkemade";;;
"2015";"Alkemade";;;
"2016";"Alkemade";;;
"2017";"Alkemade";;;
"2018";"Alkemade";;;
"2019";"Alkemade";;;
"2020";"Alkemade";;;
"2021";"Alkemade";;;
"2022";"Alkemade";;;
"2000";"Alkmaar";92836;39891;8678
"2001";"Alkmaar";93022;40042;8408
"2002";"Alkmaar";92992;40185;8280
"2003";"Alkmaar";93390;41008;8447
"2004";"Alkmaar";94121;41826;8310
"2005";"Alkmaar";94266;41991;8088
"2006";"Alkmaar";94455;42362;8197
"2007";"Alkmaar";94174;42509;8127
"2008";"Alkmaar";93876;42648;8133
"2009";"Alkmaar";93416;42844;8139
"2010";"Alkmaar";93861;43067;8096
"2011";"Alkmaar";93936;43231;7990
"2012";"Alkmaar";94269;43703;7904
"2013";"Alkmaar";94505;44049;7871
"2014";"Alkmaar";94866;44884;7886
"2015";"Alkmaar";107106;50076;8861
"2016";"Alkmaar";107615;50346;8816
"2017";"Alkmaar";108373;50513;8747
"2018";"Alkmaar";108470;50830;8576
"2019";"Alkmaar";108558;51127;8534
"2020";"Alkmaar";109436;51339;8442
"2021";"Alkmaar";109896;51656;8313
"2022";"Alkmaar";110783;52941;
"2000";"Almelo";66263;28329;6225
"2001";"Almelo";70416;29623;6502
"2002";"Almelo";71026;30071;6682
"2003";"Almelo";71729;30146;6607
"2004";"Almelo";72227;30411;6684
"2005";"Almelo";72293;30511;6720
"2006";"Almelo";72048;30719;6727
"2007";"Almelo";72096;30838;6832
"2008";"Almelo";72287;31219;6880
"2009";"Almelo";72428;31479;6921
"2010";"Almelo";72602;31514;6892
"2011";"Almelo";72599;31477;6786
"2012";"Almelo";72757;31995;6720
"2013";"Almelo";72729;32117;6553
"2014";"Almelo";72459;32159;6440
"2015";"Almelo";72291;32281;6386
"2016";"Almelo";72425;32417;6199
"2017";"Almelo";72479;32859;5978
"2018";"Almelo";72629;32988;5835
"2019";"Almelo";72849;33472;5741
"2020";"Almelo";73107;33549;5604
"2021";"Almelo";73132;33827;5464
"2022";"Almelo";73155;33917;
"2000";"Almere";142765;55600;19247
"2001";"Almere";150398;58478;19882
"2002";"Almere";158902;61873;20425
"2003";"Almere";165106;63771;20510
"2004";"Almere";170704;66301;21042
"2005";"Almere";175007;67873;21279
"2006";"Almere";178466;69030;21357
"2007";"Almere";180924;70181;21553
"2008";"Almere";183270;71029;21554
"2009";"Almere";185746;72373;21437
"2010";"Almere";188160;73672;21165
"2011";"Almere";190655;75304;21146
"2012";"Almere";193163;76755;21046
"2013";"Almere";195213;77609;20706
"2014";"Almere";196013;78330;20394
"2015";"Almere";196932;78974;20087
"2016";"Almere";198145;79721;19895
"2017";"Almere";200914;80582;19813
"2018";"Almere";203990;82312;19733
"2019";"Almere";207904;84161;19833
"2020";"Almere";211893;85977;20029
"2021";"Almere";214715;87259;19944
"2022";"Almere";217828;88874;
"2000";"Alphen aan den Rijn";69928;27834;7309
"2001";"Alphen aan den Rijn";70162;27903;7261
"2002";"Alphen aan den Rijn";70649;28100;7122
"2003";"Alphen aan den Rijn";70706;28170;7140
"2004";"Alphen aan den Rijn";70477;28267;7161
"2005";"Alphen aan den Rijn";70591;28487;7213
"2006";"Alphen aan den Rijn";70955;28918;7197
"2007";"Alphen aan den Rijn";71100;29396;7221
"2008";"Alphen aan den Rijn";71658;29726;7180
"2009";"Alphen aan den Rijn";72178;30033;7170
"2010";"Alphen aan den Rijn";72534;30280;7128
"2011";"Alphen aan den Rijn";72680;30315;7050
"2012";"Alphen aan den Rijn";72853;31005;6962
"2013";"Alphen aan den Rijn";72913;31280;6839
"2014";"Alphen aan den Rijn";106785;45433;10131
"2015";"Alphen aan den Rijn";107396;45753;10034
"2016";"Alphen aan den Rijn";107960;45968;9891
"2017";"Alphen aan den Rijn";108915;46723;9905
"2018";"Alphen aan den Rijn";109682;47099;9895
"2019";"Alphen aan den Rijn";110986;47753;9822
"2020";"Alphen aan den Rijn";111897;48178;9704
"2021";"Alphen aan den Rijn";112587;48893;9547
"2022";"Alphen aan den Rijn";112926;49398;
"2000";"Alphen en Riel";;;
"2001";"Alphen en Riel";;;
"2002";"Alphen en Riel";;;
"2003";"Alphen en Riel";;;
"2004";"Alphen en Riel";;;
"2005";"Alphen en Riel";;;
"2006";"Alphen en Riel";;;
"2007";"Alphen en Riel";;;
"2008";"Alphen en Riel";;;
"2009";"Alphen en Riel";;;
"2010";"Alphen en Riel";;;
"2011";"Alphen en Riel";;;
"2012";"Alphen en Riel";;;
"2013";"Alphen en Riel";;;
"2014";"Alphen en Riel";;;
"2015";"Alphen en Riel";;;
"2016";"Alphen en Riel";;;
"2017";"Alphen en Riel";;;
"2018";"Alphen en Riel";;;
"2019";"Alphen en Riel";;;
"2020";"Alphen en Riel";;;
"2021";"Alphen en Riel";;;
"2022";"Alphen en Riel";;;
"2000";"Alphen-Chaam";9460;3491;934
"2001";"Alphen-Chaam";9486;3511;955
"2002";"Alphen-Chaam";9447;3522;959
"2003";"Alphen-Chaam";9413;3528;952
"2004";"Alphen-Chaam";9414;3539;991
"2005";"Alphen-Chaam";9513;3573;974
"2006";"Alphen-Chaam";9491;3599;947
"2007";"Alphen-Chaam";9461;3644;922
"2008";"Alphen-Chaam";9455;3705;891
"2009";"Alphen-Chaam";9421;3703;876
"2010";"Alphen-Chaam";9436;3735;838
"2011";"Alphen-Chaam";9466;3727;842
"2012";"Alphen-Chaam";9525;3936;806
"2013";"Alphen-Chaam";9640;3984;784
"2014";"Alphen-Chaam";9717;4050;741
"2015";"Alphen-Chaam";9753;4149;722
"2016";"Alphen-Chaam";9924;4214;705
"2017";"Alphen-Chaam";10058;4254;716
"2018";"Alphen-Chaam";10083;4280;740
"2019";"Alphen-Chaam";10149;4342;734
"2020";"Alphen-Chaam";10203;4371;738
"2021";"Alphen-Chaam";10373;4432;727
"2022";"Alphen-Chaam";10425;4508;
"2000";"Altena";;;
"2001";"Altena";;;
"2002";"Altena";;;
"2003";"Altena";;;
"2004";"Altena";;;
"2005";"Altena";;;
"2006";"Altena";;;
"2007";"Altena";;;
"2008";"Altena";;;
"2009";"Altena";;;
"2010";"Altena";;;
"2011";"Altena";;;
"2012";"Altena";;;
"2013";"Altena";;;
"2014";"Altena";;;
"2015";"Altena";;;
"2016";"Altena";;;
"2017";"Altena";;;
"2018";"Altena";;;
"2019";"Altena";55386;22221;5199
"2020";"Altena";55967;22399;5096
"2021";"Altena";56352;22587;5026
"2022";"Altena";57009;22846;
"2000";"Ambt Delden";5489;1902;597
"2001";"Ambt Delden";;;
"2002";"Ambt Delden";;;
"2003";"Ambt Delden";;;
"2004";"Ambt Delden";;;
"2005";"Ambt Delden";;;
"2006";"Ambt Delden";;;
"2007";"Ambt Delden";;;
"2008";"Ambt Delden";;;
"2009";"Ambt Delden";;;
"2010";"Ambt Delden";;;
"2011";"Ambt Delden";;;
"2012";"Ambt Delden";;;
"2013";"Ambt Delden";;;
"2014";"Ambt Delden";;;
"2015";"Ambt Delden";;;
"2016";"Ambt Delden";;;
"2017";"Ambt Delden";;;
"2018";"Ambt Delden";;;
"2019";"Ambt Delden";;;
"2020";"Ambt Delden";;;
"2021";"Ambt Delden";;;
"2022";"Ambt Delden";;;
"2000";"Ambt Montfort";11053;4266;963
"2001";"Ambt Montfort";11038;4296;943
"2002";"Ambt Montfort";11037;4301;922
"2003";"Ambt Montfort";10994;4317;924
"2004";"Ambt Montfort";10989;4319;925
"2005";"Ambt Montfort";10918;4354;910
"2006";"Ambt Montfort";10998;4401;928
"2007";"Ambt Montfort";;;
"2008";"Ambt Montfort";;;
"2009";"Ambt Montfort";;;
"2010";"Ambt Montfort";;;
"2011";"Ambt Montfort";;;
"2012";"Ambt Montfort";;;
"2013";"Ambt Montfort";;;
"2014";"Ambt Montfort";;;
"2015";"Ambt Montfort";;;
"2016";"Ambt Montfort";;;
"2017";"Ambt Montfort";;;
"2018";"Ambt Montfort";;;
"2019";"Ambt Montfort";;;
"2020";"Ambt Montfort";;;
"2021";"Ambt Montfort";;;
"2022";"Ambt Montfort";;;
"2000";"Ameland";3488;1735;408
"2001";"Ameland";3545;1756;409
"2002";"Ameland";3564;1770;417
"2003";"Ameland";3576;1778;398
"2004";"Ameland";3525;1786;424
"2005";"Ameland";3520;1804;385
"2006";"Ameland";3475;1816;375
"2007";"Ameland";3460;1562;385
"2008";"Ameland";3456;1554;363
"2009";"Ameland";3466;1563;367
"2010";"Ameland";3501;1568;356
"2011";"Ameland";3503;1577;360
"2012";"Ameland";3526;1547;359
"2013";"Ameland";3525;1568;361
"2014";"Ameland";3578;1657;358
"2015";"Ameland";3590;1670;359
"2016";"Ameland";3611;1674;348
"2017";"Ameland";3633;1686;341
"2018";"Ameland";3654;1712;332
"2019";"Ameland";3673;1731;326
"2020";"Ameland";3716;1737;298
"2021";"Ameland";3746;1753;295
"2022";"Ameland";3757;1778;
"2000";"Amerongen";7294;2579;579
"2001";"Amerongen";7222;2584;564
"2002";"Amerongen";7220;2603;576
"2003";"Amerongen";7194;2613;596
"2004";"Amerongen";7231;2623;609
"2005";"Amerongen";7272;2631;636
"2006";"Amerongen";;;
"2007";"Amerongen";;;
"2008";"Amerongen";;;
"2009";"Amerongen";;;
"2010";"Amerongen";;;
"2011";"Amerongen";;;
"2012";"Amerongen";;;
"2013";"Amerongen";;;
"2014";"Amerongen";;;
"2015";"Amerongen";;;
"2016";"Amerongen";;;
"2017";"Amerongen";;;
"2018";"Amerongen";;;
"2019";"Amerongen";;;
"2020";"Amerongen";;;
"2021";"Amerongen";;;
"2022";"Amerongen";;;
"2000";"Amersfoort";126143;52322;12646
"2001";"Amersfoort";128035;53069;13429
"2002";"Amersfoort";129720;53612;13749
"2003";"Amersfoort";131221;54031;14191
"2004";"Amersfoort";132851;55059;14544
"2005";"Amersfoort";134906;55860;14935
"2006";"Amersfoort";136999;57177;15184
"2007";"Amersfoort";139054;57910;15444
"2008";"Amersfoort";141211;58618;15789
"2009";"Amersfoort";143212;59653;15835
"2010";"Amersfoort";144862;60605;15888
"2011";"Amersfoort";146592;61314;15872
"2012";"Amersfoort";148250;63442;15884
"2013";"Amersfoort";149662;63856;15956
"2014";"Amersfoort";150897;64455;15804
"2015";"Amersfoort";152481;64833;15781
"2016";"Amersfoort";153602;65289;15628
"2017";"Amersfoort";154337;66034;15304
"2018";"Amersfoort";155226;66530;15136
"2019";"Amersfoort";156286;67181;14867
"2020";"Amersfoort";157276;67722;14613
"2021";"Amersfoort";157462;68809;14233
"2022";"Amersfoort";158590;69962;
"2000";"Ammerzoden";;;
"2001";"Ammerzoden";;;
"2002";"Ammerzoden";;;
"2003";"Ammerzoden";;;
"2004";"Ammerzoden";;;
"2005";"Ammerzoden";;;
"2006";"Ammerzoden";;;
"2007";"Ammerzoden";;;
"2008";"Ammerzoden";;;
"2009";"Ammerzoden";;;
"2010";"Ammerzoden";;;
"2011";"Ammerzoden";;;
"2012";"Ammerzoden";;;
"2013";"Ammerzoden";;;
"2014";"Ammerzoden";;;
"2015";"Ammerzoden";;;
"2016";"Ammerzoden";;;
"2017";"Ammerzoden";;;
"2018";"Ammerzoden";;;
"2019";"Ammerzoden";;;
"2020";"Ammerzoden";;;
"2021";"Ammerzoden";;;
"2022";"Ammerzoden";;;
"2000";"Amstelveen";77623;35946;6181
"2001";"Amstelveen";77370;36114;6267
"2002";"Amstelveen";77256;36121;6410
"2003";"Amstelveen";78095;36415;6429
"2004";"Amstelveen";78866;36417;6432
"2005";"Amstelveen";79036;36424;6395
"2006";"Amstelveen";78774;36536;6183
"2007";"Amstelveen";78945;36653;6177
"2008";"Amstelveen";78980;36328;6187
"2009";"Amstelveen";79768;36981;6197
"2010";"Amstelveen";80695;37171;6152
"2011";"Amstelveen";81796;37442;6193
"2012";"Amstelveen";83363;41304;6214
"2013";"Amstelveen";84379;41616;6309
"2014";"Amstelveen";85015;42395;6470
"2015";"Amstelveen";87162;42736;6686
"2016";"Amstelveen";88602;43045;6837
"2017";"Amstelveen";89294;41649;6905
"2018";"Amstelveen";89870;41782;6993
"2019";"Amstelveen";90838;42035;7091
"2020";"Amstelveen";91675;42310;7207
"2021";"Amstelveen";90829;42251;7165
"2022";"Amstelveen";92331;42402;
"2000";"Amsterdam";731288;371800;57023
"2001";"Amsterdam";734594;373198;57119
"2002";"Amsterdam";735526;374952;56938
"2003";"Amsterdam";736562;377069;56916
"2004";"Amsterdam";739104;378573;56344
"2005";"Amsterdam";742783;380143;56610
"2006";"Amsterdam";743079;381832;56437
"2007";"Amsterdam";742884;383078;56928
"2008";"Amsterdam";747093;387531;57696
"2009";"Amsterdam";755605;391181;58458
"2010";"Amsterdam";767457;394196;58773
"2011";"Amsterdam";779808;397460;59674
"2012";"Amsterdam";790110;408888;60149
"2013";"Amsterdam";799278;411127;61011
"2014";"Amsterdam";810937;413697;61809
"2015";"Amsterdam";821752;416966;62371
"2016";"Amsterdam";833624;424390;62468
"2017";"Amsterdam";844947;428035;62134
"2018";"Amsterdam";854047;432715;62109
"2019";"Amsterdam";862965;441490;62182
"2020";"Amsterdam";872757;447351;61473
"2021";"Amsterdam";873338;449989;59846
"2022";"Amsterdam";882633;458397;
"2000";"Andijk";6368;2401;640
"2001";"Andijk";6377;2431;635
"2002";"Andijk";6418;2434;629
"2003";"Andijk";6390;2435;624
"2004";"Andijk";6423;2436;638
"2005";"Andijk";6425;2453;643
"2006";"Andijk";6470;2474;651
"2007";"Andijk";6593;2569;649
"2008";"Andijk";6581;2585;648
"2009";"Andijk";6495;2587;642
"2010";"Andijk";6504;2594;656
"2011";"Andijk";;;
"2012";"Andijk";;;
"2013";"Andijk";;;
"2014";"Andijk";;;
"2015";"Andijk";;;
"2016";"Andijk";;;
"2017";"Andijk";;;
"2018";"Andijk";;;
"2019";"Andijk";;;
"2020";"Andijk";;;
"2021";"Andijk";;;
"2022";"Andijk";;;
"2000";"Angerlo";4846;1791;522
"2001";"Angerlo";4891;1818;544
"2002";"Angerlo";4921;1834;573
"2003";"Angerlo";4994;1841;603
"2004";"Angerlo";5136;1844;633
"2005";"Angerlo";;;
"2006";"Angerlo";;;
"2007";"Angerlo";;;
"2008";"Angerlo";;;
"2009";"Angerlo";;;
"2010";"Angerlo";;;
"2011";"Angerlo";;;
"2012";"Angerlo";;;
"2013";"Angerlo";;;
"2014";"Angerlo";;;
"2015";"Angerlo";;;
"2016";"Angerlo";;;
"2017";"Angerlo";;;
"2018";"Angerlo";;;
"2019";"Angerlo";;;
"2020";"Angerlo";;;
"2021";"Angerlo";;;
"2022";"Angerlo";;;
"2000";"Anloo";;;
"2001";"Anloo";;;
"2002";"Anloo";;;
"2003";"Anloo";;;
"2004";"Anloo";;;
"2005";"Anloo";;;
"2006";"Anloo";;;
"2007";"Anloo";;;
"2008";"Anloo";;;
"2009";"Anloo";;;
"2010";"Anloo";;;
"2011";"Anloo";;;
"2012";"Anloo";;;
"2013";"Anloo";;;
"2014";"Anloo";;;
"2015";"Anloo";;;
"2016";"Anloo";;;
"2017";"Anloo";;;
"2018";"Anloo";;;
"2019";"Anloo";;;
"2020";"Anloo";;;
"2021";"Anloo";;;
"2022";"Anloo";;;
"2000";"Anna Paulowna";13851;5285;1475
"2001";"Anna Paulowna";13930;5342;1505
"2002";"Anna Paulowna";13981;5416;1499
"2003";"Anna Paulowna";13940;5392;1501
"2004";"Anna Paulowna";13953;5392;1521
"2005";"Anna Paulowna";13960;5516;1550
"2006";"Anna Paulowna";14022;5532;1532
"2007";"Anna Paulowna";14009;5611;1545
"2008";"Anna Paulowna";14123;5677;1540
"2009";"Anna Paulowna";14155;5750;1521
"2010";"Anna Paulowna";14234;5800;1469
"2011";"Anna Paulowna";14260;5798;1437
"2012";"Anna Paulowna";;;
"2013";"Anna Paulowna";;;
"2014";"Anna Paulowna";;;
"2015";"Anna Paulowna";;;
"2016";"Anna Paulowna";;;
"2017";"Anna Paulowna";;;
"2018";"Anna Paulowna";;;
"2019";"Anna Paulowna";;;
"2020";"Anna Paulowna";;;
"2021";"Anna Paulowna";;;
"2022";"Anna Paulowna";;;
"2000";"Apeldoorn";153261;61895;13872
"2001";"Apeldoorn";153683;62314;14005
"2002";"Apeldoorn";154859;63033;13936
"2003";"Apeldoorn";155741;63353;13984
"2004";"Apeldoorn";156000;63573;14007
"2005";"Apeldoorn";156064;64151;13964
"2006";"Apeldoorn";156051;64377;13940
"2007";"Apeldoorn";155564;64673;13897
"2008";"Apeldoorn";155108;64891;14374
"2009";"Apeldoorn";155332;65685;14321
"2010";"Apeldoorn";155726;65956;14209
"2011";"Apeldoorn";156199;66160;14103
"2012";"Apeldoorn";156961;67968;14027
"2013";"Apeldoorn";157315;68319;13697
"2014";"Apeldoorn";157545;69507;13368
"2015";"Apeldoorn";158099;69804;13238
"2016";"Apeldoorn";159025;70615;13074
"2017";"Apeldoorn";160047;71050;12989
"2018";"Apeldoorn";161156;71526;12777
"2019";"Apeldoorn";162445;72445;12781
"2020";"Apeldoorn";163818;73244;12745
"2021";"Apeldoorn";164781;74184;12514
"2022";"Apeldoorn";165611;74603;
"2000";"Appingedam";12307;5577;1084
